"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.lightchiropractic.sg/","https://www.lightchiropractic.sg/","0","","Skip to content","200","OK","true","","","Path-Relative","//body/a","Content","HTML"
"Hyperlink","https://www.lightchiropractic.sg/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/conditions-neurological-disorders/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/headaches-and-migraines/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/conditions-carpal-tunnel/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/about/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/treatment/arm-and-shoulder-pain/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/chiropractor-prices-singapore/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/our-practice/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
"Hyperlink","https://www.lightchiropractic.sg/conditions-thoracic-outlet-syndrome/","https://www.lightchiropractic.sg/","0","Light-Chiropractic-Logo","","200","OK","true","_self","","Root-Relative","//body/div[@class='fl-page']/header/div[2]/div/div/div/div[1]/div/div/div/div/div/a","Header","HTML"
