"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","Clicks","Impressions","CTR","Position","URL Encoded Address","Crawl Timestamp"
"https://www.lightchiropractic.sg/","text/html; charset=UTF-8","200","OK","Indexable","","Light Chiropractic | Top Rated Singapore Chiropractor","53","475","Light Chiropractic | Top Rated Singapore Chiropractor","53","475","Enjoy pain relief and natural healing with the best chiropractor in Singapore. Visit Light Chiropractic today for recommended high quality treatment.","149","907","","","Chiropractor Singapore","22","","0","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.lightchiropractic.sg/","","","","","","","1854","","0","","108","105","0","100.000","43","26","0","11","10","0","","0","","","a95b34fb66aecefa86d1e308a1d99a3e","","","","","","1.1","137","11906","0.011","33.710","https://www.lightchiropractic.sg/","2022-11-17 09:48:09"
"https://www.lightchiropractic.sg/wp-content/uploads/2022/06/neck-chiropractic-treatment-singapore-woman.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","0","","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","1.1","","","","","https://www.lightchiropractic.sg/wp-content/uploads/2022/06/neck-chiropractic-treatment-singapore-woman.jpg","2022-11-17 09:48:15"
"https://www.lightchiropractic.sg/wp-content/uploads/2022/06/best-in-singapore-chiropractor-badge-1.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","0","","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","1.1","","","","","https://www.lightchiropractic.sg/wp-content/uploads/2022/06/best-in-singapore-chiropractor-badge-1.png","2022-11-17 09:48:15"
"https://www.lightchiropractic.sg/wp-content/uploads/2022/04/Group-1-1.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","0","","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","1.1","","","","","https://www.lightchiropractic.sg/wp-content/uploads/2022/04/Group-1-1.png","2022-11-17 09:48:17"
"https://www.lightchiropractic.sg/sitemap_index.xml","text/xml; charset=UTF-8","200","OK","Non-Indexable","noindex","","0","0","","0","0","","0","0","","","","0","","0","","","","noindex, follow","","","","","","","","","0","","0","","0","0","0","0.000","0","0","0","0","0","0","","","","","b7817837fc9587653326a38246f45b53","","","","","","1.1","","","","","https://www.lightchiropractic.sg/sitemap_index.xml","2022-11-17 09:48:15"
"https://www.lightchiropractic.sg/conditions-neurological-disorders/","text/html; charset=UTF-8","200","OK","Indexable","","Chiropractic Treatment for Neurological Disorders | Light Chiropractic","70","618","Chiropractic Treatment for Neurological Disorders | Light Chiropractic","70","618","At Light Chiropractic, we offer patients a viable option for embracing natural remedies for common neurological disorders, like Fibromyalgia, or Myopathy.","154","947","","","Chiropractic Treatment - Neurological Disorders","47","","0","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.lightchiropractic.sg/conditions-neurological-disorders/","","","","","","","745","","1","","105","102","0","97.140","35","26","0","4","4","0","","0","","","5cb1e781df1c7d891cdaa7476785f964","","","","","","1.1","2","28","0.071","12.390","https://www.lightchiropractic.sg/conditions-neurological-disorders/","2022-11-17 09:48:15"
"https://www.lightchiropractic.sg/headaches-and-migraines/","text/html; charset=UTF-8","200","OK","Indexable","","Headaches and Migraines | Light Chiropractic","44","404","Headaches and Migraines | Light Chiropractic","44","404","In order to treat the problem, it's important to first understand the type of headache and symptoms you are experiencing. Schedule a consultation today.","152","938","","","Headaches and Migraines","23","","0","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.lightchiropractic.sg/headaches-and-migraines/","","","","","","","920","","1","","106","102","0","97.140","36","26","0","4","4","0","","0","","","7cdbffc8fe57e41ff451bc7a0c11f6f","","","","","","1.1","0","19","0.000","27.630","https://www.lightchiropractic.sg/headaches-and-migraines/","2022-11-17 09:48:15"
"https://www.lightchiropractic.sg/wp-content/uploads/2021/12/Light-Chiropractic-Logo.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","0","","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","1.1","","","","","https://www.lightchiropractic.sg/wp-content/uploads/2021/12/Light-Chiropractic-Logo.png","2022-11-17 09:48:17"
"https://www.lightchiropractic.sg/conditions-carpal-tunnel/","text/html; charset=UTF-8","200","OK","Indexable","","Chiropractic Treatment for Carpal Tunnel | Light Chiropractic","61","540","Chiropractic Treatment for Carpal Tunnel | Light Chiropractic","61","540","Light Chiropractic's carpel tunnel treatment can be extremely effective in reducing the symptoms and giving you full functionality of your hand once again.","155","947","","","Chiropractic Treatment Carpal Tunnel","36","","0","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.lightchiropractic.sg/conditions-carpal-tunnel/","","","","","","","902","","1","","105","102","0","97.140","35","26","0","4","4","0","","0","","","19e36862f610ae3bea915deb2a363406","","","","","","1.1","0","132","0.000","79.450","https://www.lightchiropractic.sg/conditions-carpal-tunnel/","2022-11-17 09:48:16"
"https://www.lightchiropractic.sg/wp-content/uploads/2022/06/cna-singapore-news-logo-1.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","0","","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","1.1","","","","","https://www.lightchiropractic.sg/wp-content/uploads/2022/06/cna-singapore-news-logo-1.png","2022-11-17 09:48:18"
"https://www.lightchiropractic.sg/about/","text/html; charset=UTF-8","200","OK","Indexable","","About Us | Light Chiropractic","29","254","About Us | Light Chiropractic","29","254","Our team is filled with expert chiropractic practitioners with thorough training in the treatment of neurological conditions in a safe and pain-free environment","160","962","","","About Us","8","","0","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.lightchiropractic.sg/about/","","","","","","","382","","1","","207","102","0","97.140","36","26","0","4","4","0","","0","","","6763e1490cf190d31d356bc71b827f1b","","","","","","1.1","2","1115","0.002","6.980","https://www.lightchiropractic.sg/about/","2022-11-17 09:48:17"
"https://www.lightchiropractic.sg/wp-content/uploads/2022/06/good-chiropractor-in-singapore-treatment-1.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","0","","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","1.1","","","","","https://www.lightchiropractic.sg/wp-content/uploads/2022/06/good-chiropractor-in-singapore-treatment-1.jpg","2022-11-17 09:48:19"
"https://www.lightchiropractic.sg/treatment/arm-and-shoulder-pain/","text/html; charset=UTF-8","200","OK","Indexable","","Arm and Shoulder Pain Treatment | Light Chiropractic","52","478","Arm and Shoulder Pain Treatment | Light Chiropractic","52","478","Do you have arm and shoulder pain? Light Chiropractic in Singapore can help you live pain-free with safe chiropractic treatment.","128","787","","","Arm and Shoulder Pain","21","","0","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.lightchiropractic.sg/treatment/arm-and-shoulder-pain/","","","","","","","1163","","1","","106","102","0","97.140","37","26","0","4","4","0","","0","","","5e949cc651787086397d3847f0733fe6","","","","","","1.1","0","282","0.000","55.250","https://www.lightchiropractic.sg/treatment/arm-and-shoulder-pain/","2022-11-17 09:48:18"
"https://www.lightchiropractic.sg/chiropractor-prices-singapore/","text/html; charset=UTF-8","200","OK","Indexable","","Chiropractor Singapore Prices | Light Chiropractic","50","440","Chiropractor Singapore Prices | Light Chiropractic","50","440","How much is chiropractor treatment in Singapore? View the affordable chiropractor prices and packages we offer at Light Chiropractic, starting at $60.","150","932","","","Chiropractor Prices in Singapore","32","","0","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.lightchiropractic.sg/chiropractor-prices-singapore/","","","","","","","1465","","1","","218","102","0","97.140","38","26","0","9","9","0","","0","","","e6c25fdec4a68cc8e4012ca4e7fc59e9","","","","","","1.1","372","26114","0.014","18.110","https://www.lightchiropractic.sg/chiropractor-prices-singapore/","2022-11-17 09:48:19"
"https://www.lightchiropractic.sg/wp-content/uploads/2022/06/the-fun-empire-best-in-singapore-chiropractor-award-1.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","0","","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","1.1","","","","","https://www.lightchiropractic.sg/wp-content/uploads/2022/06/the-fun-empire-best-in-singapore-chiropractor-award-1.png","2022-11-17 09:48:25"
"https://www.lightchiropractic.sg/our-practice/","text/html; charset=UTF-8","200","OK","Indexable","","Explore Our Practice Areas For Chiropractic Care In Singapore","61","549","Explore Our Practice Areas For Chiropractic Care In Singapore","61","549","Find World class chiropractic services with Light Chiropractic in Raffles Place, Singapore. We provide top-quality treatment options with the best equipment.","157","958","","","About Our Practice","18","","0","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.lightchiropractic.sg/our-practice/","","","","","","","906","","1","","105","102","0","97.140","35","26","0","9","9","0","","0","","","b581a9ab00f83e292331cb0a7014f84a","","","","","","1.1","1","55","0.018","10.350","https://www.lightchiropractic.sg/our-practice/","2022-11-17 09:48:25"
"https://www.lightchiropractic.sg/conditions-thoracic-outlet-syndrome/","text/html; charset=UTF-8","200","OK","Indexable","","Chiropractic Treatment for Thoracic Outlet Syndrome","51","475","Chiropractic Treatment for Thoracic Outlet Syndrome","51","475","Looking for a chiropractor for thoracic outlet syndrome? Give us a call and schedule an appointment with one of our skilled chiropractors at Light Chiropractic.","160","976","","","Chiropractic Treatment - Thoracic Outlet Syndrome","49","","0","","","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://www.lightchiropractic.sg/conditions-thoracic-outlet-syndrome/","","","","","","","797","","1","","105","102","0","97.140","35","26","0","4","4","0","","0","","","11d89140067b0e22a22f40150cf8882","","","","","","1.1","1","141","0.007","22.750","https://www.lightchiropractic.sg/conditions-thoracic-outlet-syndrome/","2022-11-17 09:48:25"
"https://www.lightchiropractic.sg/wp-content/uploads/2022/05/dr-theo.jpg","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","0","","","","0","","0","","","","","","","","","","","","","0","","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","","","","","","1.1","","","","","https://www.lightchiropractic.sg/wp-content/uploads/2022/05/dr-theo.jpg","2022-11-17 09:48:27"
